"","shapeID","adm_pop"
"1","10022922B10293113814705",206903.058782531
"2","10022922B10629043557873",137622.877018302
"3","10022922B11040894453097",157308.346059746
"4","10022922B11101019287712",65233.5858815734
"5","10022922B11162683268422",193836.308599171
"6","10022922B12403701465046",258836.387433765
"7","10022922B1306198900476",174659.745707208
"8","10022922B13687813160362",248897.952900276
"9","10022922B13687974105922",267188.054381792
"10","10022922B15279482214677",241321.066134587
"11","10022922B15285270155057",319298.516502081
"12","10022922B16213196407560",274334.496448629
"13","10022922B21478747844721",68703.3610482269
"14","10022922B21608854890468",142606.177789519
"15","10022922B22775533170221",194010.369459888
"16","10022922B23434626058692",198078.01269764
"17","10022922B23923498940873",148130.824068173
"18","10022922B25342620887316",26376.5032554146
"19","10022922B2580716977723",139483.827255437
"20","10022922B27026898293410",26241.2707868743
"21","10022922B29824664852903",229978.426416776
"22","10022922B29889196912325",106514.440035616
"23","10022922B29911348985828",362859.806505488
"24","10022922B30377745880071",55245.984469136
"25","10022922B31178585124685",135345.786230273
"26","10022922B31790128040616",173399.739996168
"27","10022922B32579750162608",248260.645226966
"28","10022922B32937301443957",43623.7500049426
"29","10022922B3330352702203",386070.383632144
"30","10022922B34339999190032",59258.3568053926
"31","10022922B34392392155891",199326.804369942
"32","10022922B36331574429859",34749.9254305966
"33","10022922B36895306051586",371455.621772704
"34","10022922B38771191417556",56686.3005877476
"35","10022922B38821373259374",28283.7422853834
"36","10022922B39439372576611",359033.975363721
"37","10022922B39697778193382",45633.0605628661
"38","10022922B40357207342555",195052.715747192
"39","10022922B40533998311047",118280.351086491
"40","10022922B42807663031303",220156.598383836
"41","10022922B42847936410668",63515.2030818137
"42","10022922B47245353926014",100915.046554608
"43","10022922B48021466276127",60895.9389161665
"44","10022922B49716742274905",119742.292210537
"45","10022922B50417492685621",150552.727328748
"46","10022922B50774823120221",181150.541481377
"47","10022922B51504984909978",180852.988360364
"48","10022922B52512193010711",329588.491375105
"49","10022922B52521872200932",231689.44627845
"50","10022922B52736847594449",651119.12442923
"51","10022922B53755400100934",124044.402046435
"52","10022922B54073545298219",164132.557249182
"53","10022922B54557741887580",137574.600142447
"54","10022922B54995100782210",143923.519535545
"55","10022922B55197674782137",218803.161359143
"56","10022922B55539380638871",480872.801953437
"57","10022922B56031688474611",84323.7082062235
"58","10022922B56427545477040",147875.32935957
"59","10022922B56468572037030",150229.627776021
"60","10022922B57896428715958",75663.8839499974
"61","10022922B59098628147577",33595.5947211068
"62","10022922B59270450060951",61475.5467555102
"63","10022922B59328070281510",173514.416307142
"64","10022922B59412081262724",197400.352560373
"65","10022922B6018255004858",262081.133247284
"66","10022922B60996293868186",139403.309554213
"67","10022922B61088153240222",224539.709875698
"68","10022922B61824869015313",146907.728771365
"69","10022922B63046975451138",50976.2988067668
"70","10022922B63491232053463",207565.697299228
"71","10022922B63714971659336",110852.7900031
"72","10022922B64856352127888",118539.551466813
"73","10022922B65379850816186",565001.919097226
"74","10022922B6580820782603",172233.832585349
"75","10022922B66036521727834",80377.4383453195
"76","10022922B67140219559440",66823.1582951535
"77","10022922B69082959012584",361170.515006344
"78","10022922B69129581267436",178541.223911638
"79","10022922B70120442307447",129780.665993183
"80","10022922B70385192089273",69825.0676020054
"81","10022922B7074189327891",242770.63785055
"82","10022922B70813515121555",351456.673125617
"83","10022922B71585303896889",170368.816968575
"84","10022922B72475763343132",48921.1473384175
"85","10022922B72540367204165",115253.182615819
"86","10022922B72547257848133",121983.167659653
"87","10022922B7387017022835",199458.888870068
"88","10022922B74242760889111",349149.95556042
"89","10022922B74688195218658",223077.679989163
"90","10022922B7475622417535",239235.675201256
"91","10022922B75046296685916",384876.481465283
"92","10022922B75767771564463",436350.616751603
"93","10022922B77517626674469",53285.0248136541
"94","10022922B77596397547877",190107.016245418
"95","10022922B78580830473532",285638.92078659
"96","10022922B79548799707119",231765.461080916
"97","10022922B79563685419763",236884.169652925
"98","10022922B80147144228565",315173.786125277
"99","10022922B80317071360034",177056.519773862
"100","10022922B81120329184352",145388.604212657
"101","10022922B82658288648411",277970.814278308
"102","10022922B82805843876956",358988.09861332
"103","10022922B83460232588272",79523.3562417328
"104","10022922B83786714905046",64521.5564817628
"105","10022922B85658862424992",264998.057073841
"106","10022922B85703559853082",118381.642515858
"107","10022922B86038713071830",139600.466653058
"108","10022922B90393204210047",247094.307394304
"109","10022922B91378939255033",64043.306690781
"110","10022922B91714644312966",153250.938327339
"111","10022922B92224420422748",321612.178697084
"112","10022922B93003724204974",34208.7185310737
"113","10022922B9355726550011",334413.179161228
"114","10022922B95964642483948",123712.934456259
"115","10022922B96360954496738",122834.170374566
"116","10022922B97289291498871",167478.861800709
