"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","1456440B19707016539712",1,4951.79193934192,4951.79193934192,8.50750479800153
"2","1456440B83071961973491",1,29306.9810331826,29306.9810331826,10.2855810271438
"3","1456440B94766097213569",1,13280.9926719663,13280.9926719663,9.49408916963188
"4","1456440B99535609172770",1,13434.4312255828,13434.4312255828,9.50557618487861
"5","17275852B13001476141541",1,573671.190979769,573671.190979769,13.259811673153
"6","17275852B19868960828514",1,799351.424390877,799351.424390877,13.5915559583279
"7","17275852B30975390905787",1,108029.903646008,108029.903646008,11.5901633533918
"8","17275852B39380894050966",1,1531014.35233159,1531014.35233159,14.2414410490777
"9","17275852B42230140857746",1,404091.262745579,404091.262745579,12.9093960293173
"10","17275852B44248179758570",1,490787.938342613,490787.938342613,13.1037674160129
"11","17275852B47214038820512",1,1093252.70159563,1093252.70159563,13.9046679404321
"12","17275852B50490784073671",1,1063499.00405352,1063499.00405352,13.877074977142
"13","17275852B53025585862768",1,191016.501658754,191016.501658754,12.160115099416
"14","17275852B60010150977543",1,2599604.5853558,2599604.5853558,14.7708699088705
"15","17275852B60612190497835",1,637712.72821188,637712.72821188,13.3656431916649
"16","17275852B86000242921086",1,647910.26384382,647910.26384382,13.3815074840224
"17","17275852B88564558630562",1,166026.296785869,166026.296785869,12.0199014691652
"18","17275852B89468905887192",1,904087.901826604,904087.901826604,13.714681871181
"19","17275852B95583475247133",1,1456327.23842254,1456327.23842254,14.1914282341497
"20","22064153B1052554637005",1,162780.907442434,162780.907442434,12.0001604495211
"21","22064153B11870363925687",1,7224.56264679616,7224.56264679616,8.88524197783301
"22","22064153B16459031557594",1,785770.893439763,785770.893439763,13.5744205447482
"23","22064153B17622592602982",1,4663.63766114474,4663.63766114474,8.44755103657862
"24","22064153B17932497232001",1,66451.4245559634,66451.4245559634,11.1042265019246
"25","22064153B18197472399049",1,263400.031838574,263400.031838574,12.4814291891667
"26","22064153B18981391951778",1,10868.3375679971,10868.3375679971,9.29360903079234
"27","22064153B20986912902018",1,57103.4706284872,57103.4706284872,10.9526201753817
"28","22064153B21224542742547",1,19220.3020922026,19220.3020922026,9.86372239999715
"29","22064153B26513167275722",1,8827.72555087974,8827.72555087974,9.08565267841124
"30","22064153B29179737200672",1,42962.124405273,42962.124405273,10.6680741787346
"31","22064153B34173315549622",1,20103.5110016055,20103.5110016055,9.90864975548976
"32","22064153B34645070246824",1,127343.930109203,127343.930109203,11.7546468162109
"33","22064153B34851227738598",1,24067.5318373051,24067.5318373051,10.0886189844852
"34","22064153B3805543078066",1,381751.633579289,381751.633579289,12.8525255022578
"35","22064153B38280459687635",1,586.369286167011,586.369286167011,6.37394977226861
"36","22064153B38748946116024",1,7371.6729890195,7371.6729890195,8.90539995928977
"37","22064153B39921881538290",1,76289.6596329373,76289.6596329373,11.2422926855844
"38","22064153B40501348045878",1,160450.826903328,160450.826903328,11.9857428001759
"39","22064153B42280137563605",1,53876.7902013891,53876.7902013891,10.8944550556501
"40","22064153B46764438077406",1,29730.6504117982,29730.6504117982,10.2999337930417
"41","22064153B52648905753653",1,3115.82669746038,3115.82669746038,8.04424978845435
"42","22064153B5267804533831",1,10474.5107622504,10474.5107622504,9.25670003842519
"43","22064153B52911851929609",1,110138.071373973,110138.071373973,11.6094900519856
"44","22064153B53353386763224",1,533474.735793105,533474.735793105,13.1871669930133
"45","22064153B57896694451609",1,45941.7584583946,45941.7584583946,10.7351297527938
"46","22064153B61853178733261",1,33814.3504010037,33814.3504010037,10.4286405594446
"47","22064153B62287563607588",1,14209.8611736153,14209.8611736153,9.56169145141748
"48","22064153B64118294616923",1,49638.8186452419,49638.8186452419,10.8125284405914
"49","22064153B64476610605868",1,114247.100751202,114247.100751202,11.6461189320774
"50","22064153B64946776552870",1,54457.3203676431,54457.3203676431,10.9051725613382
"51","22064153B66933042170680",1,6878.55365342763,6878.55365342763,8.83616368403456
"52","22064153B67581321748824",1,37620.1745983468,37620.1745983468,10.5352957439486
"53","22064153B68559217227558",1,64412.9033289235,64412.9033289235,11.073069254273
"54","22064153B68880016704101",1,27087.0182682194,27087.0182682194,10.2068098614029
"55","22064153B69533754697672",1,66889.4222359669,66889.4222359669,11.1107961205504
"56","22064153B73558398041144",1,9175.54933677585,9175.54933677585,9.12429754434852
"57","22064153B74936950050526",1,9766.0261331895,9766.0261331895,9.18666492055387
"58","22064153B75208844196005",1,8958.08315833312,8958.08315833312,9.10031154986025
"59","22064153B7763811650899",1,90957.6076073762,90957.6076073762,11.4181488264886
"60","22064153B78193536381763",1,1165.65354652513,1165.65354652513,7.06103719284876
"61","22064153B79429110732098",1,47533.9754972749,47533.9754972749,10.7692000079633
"62","22064153B79630920379478",1,60802.4099061983,60802.4099061983,11.0153847037839
"63","22064153B81263079942066",1,178400.836677689,178400.836677689,12.0917881890144
