"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","10022922B27026898293410",1,34400.3726712861,34400.3726712861,10.4458226767704
"2","10022922B83460232588272",1,117302.674501366,117302.674501366,11.6725128349048
"3","10022922B91378939255033",1,86054.984126635,86054.984126635,11.362741721248
"4","10938185B67203865227918",1,54379.7811643167,54379.7811643167,10.9037476939841
"5","10938185B70444296254874",1,37116.0446472687,37116.0446472687,10.521804625384
"6","17275852B23391188567726",1,2160645.78874977,2160645.78874977,14.5859177112489
"7","17275852B37463175613953",1,316197.581110423,316197.581110423,12.6641225538561
"8","17275852B40934974334003",1,1147888.5868391,1147888.5868391,13.9534348013603
"9","17275852B46998996515844",1,764775.471021656,764775.471021656,13.5473375677961
"10","17275852B49260746635311",1,580112.380379697,580112.380379697,13.270977123029
"11","17275852B50974554768856",1,397513.189365617,397513.189365617,12.8929833933201
"12","17275852B62298947029961",1,1044238.48255261,1044238.48255261,13.858798452902
"13","17275852B77187634403002",1,379562.767284128,379562.767284128,12.8467752568297
"14","17275852B7795452989931",1,835991.162154622,835991.162154622,13.6363733204256
"15","17275852B82537963815987",1,1379762.5803902,1379762.5803902,14.1374219991368
"16","17275852B90975196028640",1,734341.006321516,734341.006321516,13.506728785979
"17","17275852B98717202018932",1,417232.864325175,417232.864325175,12.9413997725566
"18","22064153B10136144710667",2,305666.762742866,611333.525485732,13.3233979574473
"19","22064153B10472046376966",1,21793.3209070239,21793.3209070239,9.98935882142137
"20","22064153B1052554637005",2,171651.870275529,343303.740551058,12.7463708752532
"21","22064153B10622080660464",1,92177.9178680754,92177.9178680754,11.4314758783439
"22","22064153B11384904576552",2,134867.518890725,269735.03778145,12.5051954145995
"23","22064153B11481996196295",2,54548.2823720423,109096.564744085,11.5999886841035
"24","22064153B11870363925687",1,7565.7687838638,7565.7687838638,8.93138924483489
"25","22064153B12979096179166",2,48358.6928782252,96717.3857564504,11.4795484559371
"26","22064153B13347263805777",2,224644.101854071,449288.203708142,13.0154198398908
"27","22064153B14001863011483",2,3267.60298811607,6535.20597623214,8.78495914449537
"28","22064153B14023525117600",2,218978.87305841,437957.74611682,12.9898777146521
"29","22064153B14191280892347",2,NA,NA,NA
"30","22064153B1420949553929",2,NA,NA,NA
"31","22064153B14260428934540",1,101502.405415591,101502.405415591,11.5278377758589
"32","22064153B15321782044758",1,1566.50900274151,1566.50900274151,7.35660485741787
"33","22064153B15346425233004",2,49235.9829566322,98471.9659132644,11.4975271766334
"34","22064153B15714680533513",1,144728.020385438,144728.020385438,11.8826115385545
"35","22064153B16459031557594",2,832252.643530642,1664505.28706128,14.3250385123582
"36","22064153B16625159005652",2,72545.8644117369,145091.728823474,11.8851214339634
"37","22064153B17150931610065",2,95077.7683410485,190155.536682097,12.1555976303771
"38","22064153B17622592602982",2,5202.08350833724,10404.1670166745,9.24996167956104
"39","22064153B17932497232001",1,69671.6084028775,69671.6084028775,11.1515481737757
"40","22064153B18197472399049",2,277761.124127197,555522.248254394,13.2276639381228
"41","22064153B18585174510843",1,30688.1735251831,30688.1735251831,10.3316326321635
"42","22064153B18860011713755",2,100439.251012475,200878.50202495,12.2104555367395
"43","22064153B18981391951778",1,11289.0116860492,11289.0116860492,9.33158511443235
"44","22064153B19507094368728",1,7815.22228059304,7815.22228059304,8.9638286852653
"45","22064153B19633670255011",1,161380.823007522,161380.823007522,11.9915222112006
"46","22064153B20100015994007",2,NA,NA,NA
"47","22064153B20112956451443",1,5819.27966565496,5819.27966565496,8.66893176427769
"48","22064153B20504043763502",2,239136.612992607,478273.225985214,13.0779374506506
"49","22064153B20548004874718",2,142689.018916036,285378.037832072,12.5615700288287
"50","22064153B20764763312334",1,99673.9974185574,99673.9974185574,11.5096601136944
"51","22064153B20891786308722",1,32657.2354754119,32657.2354754119,10.3938217173635
"52","22064153B20986912902018",2,63712.990764465,127425.98152893,11.7552909379758
"53","22064153B21018855363784",2,2668.8424860636,5337.6849721272,8.58254731213588
"54","22064153B21224542742547",2,20101.4471289331,40202.8942578662,10.6016942684798
"55","22064153B2132252923317",1,21825.6895568426,21825.6895568426,9.99084297502394
"56","22064153B21553303139286",2,56452.1341984736,112904.268396947,11.6342955563048
"57","22064153B21572106271359",2,71063.2607798157,142126.521559631,11.8644729367801
"58","22064153B21585833160132",2,245615.095098054,491230.190196108,13.104668116052
"59","22064153B22685350390729",2,255719.15921388,511438.31842776,13.1449822675183
"60","22064153B22863459733327",2,42531.8804261869,85063.7608523738,11.3511563819423
"61","22064153B23017512967810",2,551885.9349482,1103771.8698964,13.9142438448797
"62","22064153B23148495981135",2,1231180.03211006,2462360.06422012,14.716630823701
"63","22064153B23217272115075",2,46739.4852480231,93478.9704960462,11.4454917754989
"64","22064153B23745136254640",1,178937.895933418,178937.895933418,12.0947940745291
"65","22064153B24090934315492",1,4416.77346697244,4416.77346697244,8.3931647236552
"66","22064153B24375638846800",2,262234.298724568,524468.597449136,13.1701408336231
"67","22064153B2446826655857",1,79199.1467762722,79199.1467762722,11.2797208047176
"68","22064153B25274509403754",1,129196.994625283,129196.994625283,11.7690936086459
"69","22064153B25557212584140",2,331043.228644427,662086.457288854,13.4031514265259
"70","22064153B26379129013913",2,400525.651954864,801051.303909728,13.5936802738243
"71","22064153B26432964343600",2,75915.0512913197,151830.102582639,11.9305174285174
"72","22064153B26463696706835",1,185866.885129351,185866.885129351,12.1327860251328
"73","22064153B26660671620175",2,749434.787167271,1498869.57433454,14.22022176485
"74","22064153B26661145575054",2,50791.5078837365,101583.015767473,11.5286316325095
"75","22064153B26672672151559",1,4806.55563439568,4806.55563439568,8.47773602226374
"76","22064153B27005462697609",1,62560.2576660947,62560.2576660947,11.0438854939143
"77","22064153B27247213696549",2,281235.209683779,562470.419367558,13.2400938238869
"78","22064153B27378883096087",2,620615.839658785,1241231.67931757,14.0316147343676
"79","22064153B27631691114886",1,11102.8042960446,11102.8042960446,9.31495299467579
"80","22064153B28200881155358",2,13492.8678586422,26985.7357172844,10.203063698616
"81","22064153B28864104730432",2,53384.7937859018,106769.587571804,11.5784284043926
"82","22064153B29179737200672",2,48169.4081998781,96338.8163997562,11.4756265944512
"83","22064153B29202371584226",2,236012.344071952,472024.688143904,13.0647865685894
"84","22064153B30363651690938",2,329573.813249054,659147.626498108,13.3987028043272
"85","22064153B30625233243143",2,35792.0742031071,71584.1484062142,11.1786289374635
"86","22064153B31828477920697",2,75977.0897948096,151954.179589619,11.9313343043149
"87","22064153B31988030206411",1,52687.8833794047,52687.8833794047,10.8721407911952
"88","22064153B32499931661973",2,161535.358909834,323070.717819668,12.685626518859
