"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","10022922B16213196407560",1,101716.640751326,101716.640751326,11.5299461945248
"2","10022922B32579750162608",1,85362.0896979508,85362.0896979508,11.3546573666735
"3","10022922B36331574429859",1,14025.1264011338,14025.1264011338,9.54860574290884
"4","10022922B40357207342555",1,98196.5802977342,98196.5802977342,11.4947266698842
"5","10022922B52521872200932",1,58967.0786040958,58967.0786040958,10.9847345773925
"6","10022922B54557741887580",1,57983.2781330968,57983.2781330968,10.9679099399097
"7","10022922B56468572037030",1,51992.3748526307,51992.3748526307,10.8588523493618
"8","10022922B63491232053463",1,96859.1851298504,96859.1851298504,11.4810135030564
"9","10022922B63714971659336",1,19441.5617029863,19441.5617029863,9.87516840930354
"10","10022922B6580820782603",1,51609.670865424,51609.670865424,10.8514643537813
"11","10022922B75767771564463",1,151098.594944471,151098.594944471,11.9256878493723
"12","10022922B78580830473532",1,143501.994622205,143501.994622205,11.8741042138915
"13","10022922B9355726550011",1,107153.233732799,107153.233732799,11.5820151799405
"14","17275852B10267820559553",1,358032.804433741,358032.804433741,12.7883798936813
"15","17275852B1065790622928",1,335981.536063442,335981.536063442,12.7248114852433
"16","17275852B13001476141541",1,473623.388196083,473623.388196083,13.0681677451926
"17","17275852B14815638988431",1,320164.053879821,320164.053879821,12.6765888117808
"18","17275852B15408627611583",1,345470.440279646,345470.440279646,12.7526623621756
"19","17275852B15995572811192",1,325065.830010143,325065.830010143,12.691782994678
"20","17275852B16105050053503",1,711623.622434518,711623.622434518,13.475304430449
"21","17275852B16521843045020",1,881544.969713976,881544.969713976,13.6894312945092
"22","17275852B19868960828514",1,766534.847930671,766534.847930671,13.5496354399666
"23","17275852B21750823884811",1,216249.045561645,216249.045561645,12.2841860111966
"24","17275852B2295538790743",1,625636.601466561,625636.601466561,13.3465249726824
"25","17275852B24445486288332",1,320001.201250256,320001.201250256,12.6760800286759
"26","17275852B26690160376255",1,1113552.67222988,1113552.67222988,13.9230660678656
"27","17275852B30975390905787",1,88484.5907639679,88484.5907639679,11.3905837001747
"28","17275852B34420574294401",1,362652.979270795,362652.979270795,12.8012016760364
"29","17275852B35691129963558",1,713240.033411148,713240.033411148,13.4775732954922
"30","17275852B37857453943231",1,206469.446335036,206469.446335036,12.2379077207995
"31","17275852B38709981190197",1,206577.820264057,206577.820264057,12.2384324739707
"32","17275852B38939963469829",1,636666.285638154,636666.285638154,13.3640009128804
"33","17275852B39380894050966",1,1186724.51235887,1186724.51235887,13.9867075593419
"34","17275852B41190306193582",1,336743.541810018,336743.541810018,12.7270769160932
"35","17275852B46208020456835",1,375083.349433186,375083.349433186,12.8349035454105
"36","17275852B46978756476047",1,223330.404331552,223330.404331552,12.3164075876797
"37","17275852B47214038820512",1,676492.795288727,676492.795288727,13.4246770765566
"38","17275852B48501556095420",1,136988.226285249,136988.226285249,11.8276502615935
"39","17275852B50034294804845",1,1150362.66174226,1150362.66174226,13.9555878086613
"40","17275852B50490784073671",1,668097.637335398,668097.637335398,13.4121896055137
"41","17275852B50589627480209",1,382596.374980148,382596.374980148,12.8547358612444
"42","17275852B51230036148684",1,758269.98665776,758269.98665776,13.5387947841322
"43","17275852B52033797991024",1,147728.721792104,147728.721792104,11.9031329099537
"44","17275852B53025585862768",1,169138.457455393,169138.457455393,12.0384729333667
"45","17275852B59014028549632",1,745161.586266092,745161.586266092,13.5213563681604
"46","17275852B59261423659404",1,601913.281974709,601913.281974709,13.3078686640389
"47","17275852B60010150977543",1,1190050.25089242,1190050.25089242,13.9895060918368
"48","17275852B60612190497835",1,549584.860083377,549584.860083377,13.2169184723554
"49","17275852B63889031221729",1,800000.149493899,800000.149493899,13.5923671935174
"50","17275852B71635948673445",1,264411.167105394,264411.167105394,12.485260621716
"51","17275852B71641756163868",1,383413.559985969,383413.559985969,12.8568694766938
"52","17275852B72819681774342",1,254740.199679132,254740.199679132,12.4479994799981
"53","17275852B75086699702795",1,276609.920672724,276609.920672724,12.5303635640654
"54","17275852B76985937823941",1,55420.0808110321,55420.0808110321,10.9226972765724
"55","17275852B78973254528560",1,371043.298049367,371043.298049367,12.8240740411124
"56","17275852B7979903099841",1,376749.59695333,376749.59695333,12.8393360466894
"57","17275852B80309702523612",1,101353.998549202,101353.998549202,11.5263746039801
"58","17275852B82960244806798",1,180660.750636675,180660.750636675,12.1043762456641
"59","17275852B8306530590796",1,170738.23593199,170738.23593199,12.0478868786144
"60","17275852B85583949591367",1,202990.662694839,202990.662694839,12.2209152603889
"61","17275852B86000242921086",1,406430.473661887,406430.473661887,12.9151681568395
"62","17275852B86431238150342",1,359681.581060598,359681.581060598,12.7929744219801
"63","17275852B87114256965843",1,404344.730926797,404344.730926797,12.9100230874679
"64","17275852B8790559451208",1,615515.902064494,615515.902064494,13.3302160602835
"65","17275852B87965925400106",1,90022.6736488887,90022.6736488887,11.4078168470156
"66","17275852B89468905887192",1,650323.612986395,650323.612986395,13.3852253841105
"67","17275852B90429058486395",1,837410.91531345,837410.91531345,13.6380701672487
