"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","10022922B10629043557873",1,143114.009298421,143114.009298421,11.871396859414
"2","10022922B11162683268422",1,190381.25584458,190381.25584458,12.1567839502988
"3","10022922B12403701465046",1,307519.886425594,307519.886425594,12.6362950354404
"4","10022922B13687813160362",1,237323.682977591,237323.682977591,12.377180239288
"5","10022922B15279482214677",1,261658.501480598,261658.501480598,12.4747955030768
"6","10022922B21478747844721",1,68681.7266585995,68681.7266585995,11.1372384553273
"7","10022922B23434626058692",1,190155.268997806,190155.268997806,12.1555962226638
"8","10022922B29889196912325",1,99806.8821356342,99806.8821356342,11.5109924191969
"9","10022922B29911348985828",1,452413.972712167,452413.972712167,13.0223529084946
"10","10022922B31790128040616",1,195831.628742097,195831.628742097,12.1850105319988
"11","10022922B34392392155891",1,191307.894635462,191307.894635462,12.1616394229274
"12","10022922B36331574429859",1,56211.5255798438,56211.5255798438,10.9368770963473
"13","10022922B39439372576611",1,345577.973515012,345577.973515012,12.7529735798387
"14","10022922B39697778193382",1,50981.3458239764,50981.3458239764,10.8392150766396
"15","10022922B42807663031303",1,222200.754285485,222200.754285485,12.311336550806
"16","10022922B47245353926014",1,93117.8657425178,93117.8657425178,11.4416213432709
"17","10022922B52512193010711",1,392151.083635716,392151.083635716,12.8794024619564
"18","10022922B6018255004858",1,329905.41637677,329905.41637677,12.7065612753201
"19","10022922B72540367204165",1,108267.281064019,108267.281064019,11.5923582734378
"20","10022922B7475622417535",1,233564.802088976,233564.802088976,12.3612148425945
"21","10022922B75767771564463",1,586706.526716583,586706.526716583,13.2822800193051
"22","10022922B79548799707119",1,257438.728974612,257438.728974612,12.4585370250427
"23","10022922B81120329184352",1,179659.115272572,179659.115272572,12.0988165303169
"24","10022922B85703559853082",1,124438.539517702,124438.539517702,11.7315672145051
"25","14151628B53702400461405",1,56421.4817335324,56421.4817335324,10.9406052467693
"26","14151628B61046117406534",1,9443.18180837304,9443.18180837304,9.15304825832066
"27","14151628B95966095088914",1,44137.0837906689,44137.0837906689,10.6950556103574
"28","15242507B10596271459975",1,18917.7090880406,18917.7090880406,9.84785375113298
"29","15242507B399982580631",1,52490.1438062996,52490.1438062996,10.868380693932
"30","15242507B46563890594581",1,18715.6639104586,18715.6639104586,9.83711609448669
"31","15242507B66245697923351",1,45222.1299682686,45222.1299682686,10.7193418470727
"32","15242507B7547411227389",1,18101.7971117693,18101.7971117693,9.80376650026825
"33","16705992B23463827258150",2,522881.763452296,1045763.52690459,13.8602578243435
"34","16705992B34517682786426",2,2609466.51698236,5218933.03396472,15.4678035393428
"35","16705992B37732832620169",1,1858497.28859456,1858497.28859456,14.435278809797
"36","16705992B94200136889214",1,8687708.76060048,8687708.76060048,15.9774197985636
"37","17275852B10013747765987",2,1431122.35891862,2862244.71783724,14.8671167413261
"38","17275852B10267820559553",1,425584.478234082,425584.478234082,12.9612187460299
"39","17275852B1065790622928",1,616595.618308736,616595.618308736,13.3319686881954
"40","17275852B11085886687529",1,326726.779114722,326726.779114722,12.6968795627476
"41","17275852B11168745431905",1,330532.278531484,330532.278531484,12.7084595992582
"42","17275852B12258272370747",2,667354.976117236,1334709.95223447,14.1042245619674
"43","17275852B13001476141541",1,651648.228388359,651648.228388359,13.3872601683
"44","17275852B14417300719855",1,286358.868906086,286358.868906086,12.5650010896004
"45","17275852B14815638988431",1,314590.939170231,314590.939170231,12.6590284680798
"46","17275852B15408627611583",1,935524.512121345,935524.512121345,13.7488626265137
"47","17275852B15995572811192",1,312197.010772054,312197.010772054,12.6513897122965
"48","17275852B16105050053503",1,1818676.27250252,1818676.27250252,14.4136194716246
"49","17275852B1643752484532",1,1040026.00612436,1040026.00612436,13.8547562766937
"50","17275852B16521843045020",1,1597695.41872632,1597695.41872632,14.2840727855936
"51","17275852B17785585955827",2,695884.45392662,1391768.90785324,14.1460860916213
"52","17275852B19231985776314",1,562621.466091781,562621.466091781,13.2403623294678
"53","17275852B19868960828514",1,839022.992057702,839022.992057702,13.6399933891951
"54","17275852B2033650787942",1,301859.866144567,301859.866144567,12.6177181692778
"55","17275852B2067645637252",1,1255651.58929805,1255651.58929805,14.0431651904729
"56","17275852B21494165623103",1,266174.400499422,266174.400499422,12.4919070139005
"57","17275852B21750823884811",1,213695.497642961,213695.497642961,12.2723073724983
"58","17275852B21842931785294",2,2357820.00620907,4715640.01241814,15.3663952044812
"59","17275852B2295538790743",1,1482428.0655233,1482428.0655233,14.2091918862642
"60","17275852B24445486288332",1,310629.767762118,310629.767762118,12.6463570246476
"61","17275852B25965384817686",1,2346064.65991718,2346064.65991718,14.6682498695878
"62","17275852B26690160376255",1,1220685.42982505,1220685.42982505,14.0149230866688
"63","17275852B27877276340012",2,4088551.28476938,8177102.56953876,15.9168484367292
"64","17275852B282910546940",2,987865.916789484,1975731.83357897,14.4964494363287
"65","17275852B30419994709301",1,1639716.94314585,1639716.94314585,14.3100341892613
"66","17275852B30975390905787",1,112347.772844457,112347.772844457,11.6293544540477
"67","17275852B31573882035564",1,570588.947572149,570588.947572149,13.2544243477389
"68","17275852B31711539663260",2,3979725.41239528,7959450.82479056,15.88987056358
"69","17275852B31967187012085",1,307200.170675052,307200.170675052,12.6352548358384
