"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","10022922B10293113814705",1,164219.999875667,164219.999875667,12.0089622705057
"2","10022922B21608854890468",1,107979.836422328,107979.836422328,11.5896997888825
"3","10022922B22775533170221",1,147951.408235097,147951.408235097,11.9046391761007
"4","10022922B29824664852903",1,154995.300844934,154995.300844934,11.9511500783124
"5","10022922B34339999190032",1,56013.5697227588,56013.5697227588,10.9333492568412
"6","10022922B36331574429859",1,25576.001163227,25576.001163227,10.1494097362209
"7","10022922B51504984909978",1,128787.350426819,128787.350426819,11.7659178768575
"8","10022922B52521872200932",1,182376.597599053,182376.597599053,12.1138290457541
"9","10022922B54557741887580",1,124650.384947587,124650.384947587,11.7332681771747
"10","10022922B54995100782210",1,111114.950923833,111114.950923833,11.6183205383454
"11","10022922B55197674782137",1,154667.98982066,154667.98982066,11.9490360973786
"12","10022922B60996293868186",1,105772.476306454,105772.476306454,11.5690456162297
"13","10022922B63491232053463",1,191628.867914013,191628.867914013,12.1633158007793
"14","10022922B63714971659336",1,79869.7121155009,79869.7121155009,11.2881519874915
"15","10022922B66036521727834",1,52836.7707287374,52836.7707287374,10.8749626426267
"16","10022922B7387017022835",1,162575.055949562,162575.055949562,11.9988950568835
"17","10022922B75767771564463",1,349125.772859294,349125.772859294,12.7631875169487
"18","10022922B77517626674469",1,37987.6584365925,37987.6584365925,10.5450166079723
"19","10022922B9355726550011",1,270065.695310778,270065.695310778,12.5064205243498
"20","10022922B95964642483948",1,88888.9602671137,88888.9602671137,11.3951432323186
"21","14151628B95966095088914",1,41586.3373273637,41586.3373273637,10.6355269626739
"22","17275852B10267820559553",1,491861.669469376,491861.669469376,13.1059527963266
"23","17275852B1065790622928",2,580442.395669913,1160884.79133983,13.9646930234907
"24","17275852B10675763964956",1,748019.993487633,748019.993487633,13.5251849858609
"25","17275852B11168745431905",2,346692.210326105,693384.42065221,13.4493398439279
"26","17275852B11386974868733",1,780579.457965439,780579.457965439,13.5677918176835
"27","17275852B12443275471591",1,847613.408112222,847613.408112222,13.650179924166
"28","17275852B13001476141541",1,604662.155161439,604662.155161439,13.312425159817
"29","17275852B14417300719855",1,300571.671227492,300571.671227492,12.6134415110999
"30","17275852B15408627611583",2,712210.581555749,1424421.1631115,14.1692760878375
"31","17275852B15586652060579",1,320853.350104142,320853.350104142,12.6787394444648
"32","17275852B15928071016890",1,233027.358522161,233027.358522161,12.3589111442049
"33","17275852B1643752484532",1,929066.347572637,929066.347572637,13.7419354335156
"34","17275852B17785585955827",1,638734.088117217,638734.088117217,13.3672435092187
"35","17275852B18090329850308",1,271054.863793507,271054.863793507,12.5100765287943
"36","17275852B18639822721943",1,579376.547770816,579376.547770816,13.2697078867478
"37","17275852B19931241701115",1,1040917.2313117,1040917.2313117,13.8556128356097
"38","17275852B2067645637252",1,1078950.14688025,1078950.14688025,13.8914990400962
"39","17275852B21494165623103",1,280563.189982286,280563.189982286,12.5445542548032
"40","17275852B21750823884811",1,217733.547355175,217733.547355175,12.2910273343638
"41","17275852B23032274093284",1,237795.609318458,237795.609318458,12.3791667993108
"42","17275852B23042571236095",1,323198.030981409,323198.030981409,12.68602051335
"43","17275852B23091947477547",1,484112.917785229,484112.917785229,13.0900734596974
"44","17275852B23391188567726",1,2002011.83017324,2002011.83017324,14.5096631480173
"45","17275852B23708909449715",1,365716.495040582,365716.495040582,12.8096137085088
"46","17275852B24333220567136",1,411486.163069807,411486.163069807,12.9275306729441
"47","17275852B25101176936396",1,815631.492624431,815631.492624431,13.6117179297673
"48","17275852B25527504348841",1,209098.067555881,209098.067555881,12.2505586436518
"49","17275852B26008312470627",1,140372.861308827,140372.861308827,11.8520574563687
"50","17275852B26033440645013",1,86585.594755387,86585.594755387,11.3688887383976
"51","17275852B26344796891704",1,194840.061686753,194840.061686753,12.1799343045225
"52","17275852B26690160376255",1,1202322.41173842,1202322.41173842,13.9997655875099
"53","17275852B282910546940",1,917390.940309057,917390.940309057,13.7292889856976
"54","17275852B29365851049062",1,1305484.05509263,1305484.05509263,14.0820844534065
"55","17275852B30120943168727",1,512295.351812114,512295.351812114,13.1466565967105
"56","17275852B30419994709301",1,1573470.95752888,1573470.95752888,14.2687945380737
"57","17275852B31510326051494",1,829022.844063208,829022.844063208,13.6280029899057
"58","17275852B31573882035564",1,522873.868518014,522873.868518014,13.1670955447795
"59","17275852B31753067259114",1,197140.521164902,197140.521164902,12.1916720588443
"60","17275852B32842515207648",1,302126.659284717,302126.659284717,12.6186016100378
"61","17275852B34420574294401",1,363443.087987723,363443.087987723,12.8033779969516
"62","17275852B34450056986470",1,567457.458764297,567457.458764297,13.248921062998
"63","17275852B34909453536373",1,744483.007831495,744483.007831495,13.520445307248
"64","17275852B34914005005648",1,1052379.22534258,1052379.22534258,13.866564087686
"65","17275852B34982159967792",1,176319.391741392,176319.391741392,12.0800523551982
"66","17275852B35175722210772",1,52819.9018588954,52819.9018588954,10.8746433278202
"67","17275852B35197276805075",1,121241.259430658,121241.259430658,11.7055377190315
"68","17275852B35416849225692",1,1310079.27878387,1310079.27878387,14.0855982115018
"69","17275852B35691129963558",2,2027605.72172336,4055211.44344672,15.2155133880555
"70","17275852B35957304691865",1,203955.813198387,203955.813198387,12.2256586473961
"71","17275852B36427803126994",1,1970505.84673294,1970505.84673294,14.4938008427445
"72","17275852B37419515135684",1,442207.393793139,442207.393793139,12.9995342677386
"73","17275852B37590867813392",2,419976.082854058,839952.165708116,13.6411002236125
"74","17275852B37857453943231",1,243805.6955917,243805.6955917,12.4041268574943
"75","17275852B38338809131920",1,1214425.88054758,1214425.88054758,14.0097819967828
"76","17275852B38392968045125",1,285958.655224023,285958.655224023,12.5636025171981
"77","17275852B3879764169207",1,1452221.95412273,1452221.95412273,14.1886053236509
"78","17275852B39002428158328",1,240611.476881043,240611.476881043,12.39093878247
"79","17275852B39380894050966",1,1633777.29935004,1633777.29935004,14.3064052534061
"80","17275852B39422876200918",1,184501.386039249,184501.386039249,12.1254122548424
"81","17275852B39849449809026",1,202269.061880968,202269.061880968,12.217354079582
"82","17275852B40827597599959",2,359574.618051948,719149.236103896,13.4858241758106
"83","17275852B40934974334003",1,1037588.97410139,1037588.97410139,13.85241028558
"84","17275852B42230140857746",2,424600.459801511,849200.919603022,13.6520510917158
"85","17275852B42704411692482",1,995501.811758476,995501.811758476,13.811002222433
"86","17275852B43446340592902",1,423421.748989465,423421.748989465,12.9561240038399
"87","17275852B43707425356039",1,829530.184940709,829530.184940709,13.6286147772703
"88","17275852B44248179758570",2,472887.627749785,945775.25549957,13.7597602463413
"89","17275852B44589121739824",1,197276.719472062,197276.719472062,12.1923626894687
"90","17275852B44953136813001",1,443850.657895483,443850.657895483,13.0032434287427
"91","17275852B45805035523406",1,810373.368816882,810373.368816882,13.6052503696008
"92","17275852B46208020456835",1,449974.597359004,449974.597359004,13.0169464098398
"93","17275852B46346395801730",1,259938.973866459,259938.973866459,12.4682021665493
"94","17275852B46630816811728",1,509085.470745756,509085.470745756,13.1403712003863
"95","17275852B4666557299379",1,668845.820098038,668845.820098038,13.413308849318
"96","17275852B47214038820512",1,1154063.566498,1154063.566498,13.9587998081536
"97","17275852B47416526759176",1,140801.669590329,140801.669590329,11.8551075805216
"98","17275852B47611300766307",1,625581.285074809,625581.285074809,13.346436552604
"99","17275852B47839165615513",1,19092.6930886216,19092.6930886216,9.85706098003452
"100","17275852B48217934131504",1,297629.228944563,297629.228944563,12.6036037926578
"101","17275852B48501556095420",2,136240.590632642,272481.181265284,12.5153248311238
"102","17275852B49260746635311",1,517144.711007656,517144.711007656,13.1560780195616
"103","17275852B50034294804845",1,1373784.90875459,1373784.90875459,14.1330801956634
"104","17275852B50191422864704",1,785417.368000799,785417.368000799,13.5739705344553
"105","17275852B50435667373766",1,473904.714754047,473904.714754047,13.0687615567436
"106","17275852B50805542405305",1,268407.326137465,268407.326137465,12.5002609793013
"107","17275852B50934595514046",1,301556.62432203,301556.62432203,12.6167130862121
"108","17275852B51230036148684",2,1413979.61450496,2827959.22900992,14.8550658889958
"109","17275852B51390796967225",1,345520.297678154,345520.297678154,12.7528066691709
"110","17275852B52186187686392",1,254169.590818521,254169.590818521,12.4457570035892
"111","17275852B52554899928467",1,557102.429601293,557102.429601293,13.2305043971577
"112","17275852B53025585862768",1,200197.948757951,200197.948757951,12.2070618998465
"113","17275852B53915190353866",1,1278979.02518986,1278979.02518986,14.0615726810441
"114","17275852B54078553013960",1,517917.698157335,517917.698157335,13.1575716247521
"115","17275852B54799230122335",1,180099.631753403,180099.631753403,12.1012654864835
"116","17275852B57882995260260",1,376836.873216748,376836.873216748,12.839567675752
"117","17275852B58186217435722",1,3129488.78694076,3129488.78694076,14.9563802223211
"118","17275852B58489467965072",1,132223.477086113,132223.477086113,11.7922487782737
"119","17275852B59014028549632",1,1130328.11872316,1130328.11872316,13.9380185190906
"120","17275852B59209488526743",1,156052.471689817,156052.471689817,11.9579475866624
"121","17275852B59616994343756",1,165778.951044942,165778.951044942,12.0184105597334
"122","17275852B60010150977543",2,2749926.85917814,5499853.71835628,15.5202320531865
"123","17275852B60036374298215",1,1375179.3682137,1375179.3682137,14.134094730185
"124","17275852B60568982990722",1,776620.87839729,776620.87839729,13.5627075802826
"125","17275852B60612190497835",2,669384.650900504,1338769.30180101,14.1072613184187
"126","17275852B60797773490242",1,126419.074956975,126419.074956975,11.7473576587789
"127","17275852B61603419379796",1,114113.111252358,114113.111252358,11.6449454394357
