"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","10022922B16213196407560",1,170335.285674587,170335.285674587,12.0455240423381
"2","17275852B10013747765987",3,841724.77189501,2525174.31568503,14.7418206542236
"3","17275852B1065790622928",1,519976.255525864,519976.255525864,13.1615384270648
"4","17275852B12258272370747",1,511729.785042379,511729.785042379,13.1455520011163
"5","17275852B13001476141541",1,568726.380197737,568726.380197737,13.2511547190623
"6","17275852B14815638988431",1,336581.147298121,336581.147298121,12.7265945499549
"7","17275852B15408627611583",1,515297.62499103,515297.62499103,13.1524999253226
"8","17275852B16105050053503",1,1165227.6327915,1165227.6327915,13.9684270188493
"9","17275852B17608034678944",1,844237.288515191,844237.288515191,13.6461888815934
"10","17275852B2067645637252",2,899038.346548363,1798076.69309673,14.4022281477741
"11","17275852B21750823884811",1,226085.117798296,226085.117798296,12.3286668347742
"12","17275852B21842931785294",3,1594348.46802982,4783045.40408946,15.380588015423
"13","17275852B25965384817686",2,1914946.88286195,3829893.7657239,15.1583476233632
"14","17275852B27877276340012",3,2817008.1954674,8451024.5864022,15.9497982448115
"15","17275852B31711539663260",3,2072823.34052261,6218470.02156783,15.6430344572181
"16","17275852B33382458843189",3,6157585.97814676,18472757.9344403,16.7318076607057
"17","17275852B34420574294401",1,378086.230314859,378086.230314859,12.8428775711118
"18","17275852B34914005005648",1,993214.35538204,993214.35538204,13.8087017861787
"19","17275852B34966799109471",2,NA,NA,NA
"20","17275852B35175722210772",2,53010.0172972447,106020.034594489,11.5713833608433
"21","17275852B35691129963558",1,1382443.76529975,1382443.76529975,14.1393633354571
"22","17275852B36427803126994",1,1741123.28674063,1741123.28674063,14.3700410299942
"23","17275852B36456254412660",3,595962.590393786,1787887.77118136,14.39654546495
"24","17275852B37419515135684",1,418890.54415506,418890.54415506,12.945364933644
"25","17275852B37857453943231",1,231553.974996339,231553.974996339,12.3525682786643
"26","17275852B37976290279083",3,1682596.01776603,5047788.05329809,15.4344606960496
"27","17275852B38331625545684",2,213081.89994495,426163.7998899,12.9625790581315
