"","ADM2_id","total_exposure_days","total_population","total_person_day_exposure","log_total_person_day_exposure"
"1","10022922B15279482214677",1,261658.501480598,261658.501480598,12.4747955030768
"2","1004716B11599288881671",2,89245.2722197575,178490.544439515,12.0922909064711
"3","1004716B12807180863257",1,23910.5101825131,23910.5101825131,10.0820733978455
"4","1004716B15521754331329",1,12699.9512405371,12699.9512405371,9.44935343311153
"5","1004716B16530197596894",1,9502.3211566776,9502.3211566776,9.15929138002621
"6","1004716B17858625010552",1,45551.4539193247,45551.4539193247,10.7265978213735
"7","1004716B19592453866011",2,42973.8241055644,85947.6482111288,11.3614936481461
"8","1004716B19683418565174",1,40251.4036765835,40251.4036765835,10.602900156191
"9","1004716B22222561531816",1,150508.585523962,150508.585523962,11.9217754082148
"10","1004716B23703372823656",1,52534.8654915513,52534.8654915513,10.8692323327608
"11","1004716B25333240453308",1,16709.2308183891,16709.2308183891,9.72371658931448
"12","1004716B26434721219648",2,33917.2852571196,67834.5705142392,11.1248272335695
"13","1004716B28990306524244",1,16425.9240187165,16425.9240187165,9.70661609861773
"14","1004716B35768967856860",1,25432.918473627,25432.918473627,10.1437996168185
"15","1004716B37317224519748",1,29082.7588529966,29082.7588529966,10.2779007982959
"16","1004716B40400689855",1,16915.74476605,16915.74476605,9.73600011016275
"17","1004716B43521323619670",1,34322.4262789322,34322.4262789322,10.4435542468762
"18","1004716B48551329276028",1,57274.4269219838,57274.4269219838,10.9556095015446
"19","1004716B4922305453104",2,130339.914071762,260679.828143524,12.4710482211839
"20","1004716B49873570075163",2,53542.1209029393,107084.241805879,11.5813711102778
"21","1004716B52316346620660",2,36855.8560617863,73711.7121235726,11.2079169817466
"22","1004716B53566331639399",1,37337.0238987374,37337.0238987374,10.5277407111538
"23","1004716B54841034408415",2,4467.5166105663,8935.0332211326,9.09773514567644
"24","1004716B54884295225875",1,23160.5103199396,23160.5103199396,10.0502039659839
"25","1004716B55226501636546",1,84893.0549316226,84893.0549316226,11.3491475660279
"26","1004716B56620131792900",1,25674.6671138448,25674.6671138448,10.1532600693318
"27","1004716B57977166518542",1,7227.93915054672,7227.93915054672,8.88570923310263
"28","1004716B59268644799254",1,5966.88955888219,5966.88955888219,8.69398105870025
"29","1004716B59561858101925",1,36327.9388802575,36327.9388802575,10.5003423903347
"30","1004716B60763452238766",1,12873.9263491191,12873.9263491191,9.46295933169509
"31","1004716B63419948183184",1,8676.85874093409,8676.85874093409,9.06841484594841
"32","1004716B63442021771404",2,42064.5466768597,84129.0933537194,11.340107723757
"33","1004716B63753467336397",2,40463.4529616839,80926.9059233678,11.3013016302424
"34","1004716B64961378058069",1,8574.17041661911,8574.17041661911,9.0565095229365
"35","1004716B65616251671533",1,77178.387392398,77178.387392398,11.2538747407608
"36","1004716B68120786846316",1,20939.1087832707,20939.1087832707,9.94937392302552
"37","1004716B75632555635080",1,37433.0048897771,37433.0048897771,10.5303080779267
"38","1004716B78226136853843",1,50184.7280673729,50184.7280673729,10.8234660376295
"39","1004716B80493320334712",1,41250.6066155121,41250.6066155121,10.6274210974853
"40","1004716B80689384064512",2,20164.3382628114,40328.6765256228,10.6048180712026
"41","1004716B8103194672097",2,89699.1910886185,179398.382177237,12.0973642106021
"42","1004716B81885573908031",1,41871.3219301717,41871.3219301717,10.6423564307663
"43","1004716B82314405656204",2,66538.5651681976,133077.130336395,11.7986841664523
"44","1004716B85519023744244",2,115235.875068912,230471.750137824,12.3478835748529
"45","1004716B91684514747907",1,69123.4630585257,69123.4630585257,11.1436495043427
"46","1004716B94651334024859",1,7538.86476832658,7538.86476832658,8.92782688843663
"47","1004716B97490188129445",2,34736.749028327,69473.498056654,11.148700635905
"48","1004716B99280439905911",2,92418.3269130489,184836.653826098,12.1272277617371
"49","14151628B20319301670654",1,14608.5982634673,14608.5982634673,9.58936555650513
"50","14151628B28251361437248",1,10237.1768165185,10237.1768165185,9.23378115906898
"51","14151628B39642918357252",1,95127.5644697996,95127.5644697996,11.4629740537472
"52","14151628B42533076410957",1,62493.3669945997,62493.3669945997,11.0428157020061
"53","14151628B48978228339800",2,69566.0974043325,139132.194808665,11.8431798019481
"54","14151628B53541640625043",2,27198.6266591385,54397.253318277,10.9040689410965
"55","14151628B53702400461405",1,56421.4817335324,56421.4817335324,10.9406052467693
"56","14151628B59272471160482",1,13103.182080966,13103.182080966,9.4806103866361
"57","14151628B61046117406534",1,9443.18180837304,9443.18180837304,9.15304825832066
"58","14151628B68154180840071",1,21425.83413129,21425.83413129,9.97235267532376
"59","14151628B71764118664060",1,1175.44162009686,1175.44162009686,7.06939920285645
"60","14151628B8492423103487",1,208165.960116469,208165.960116469,12.2460909257176
"61","14151628B98370545668292",1,247217.297102084,247217.297102084,12.4180229742135
"62","1456440B19707016539712",1,10608.1826773313,10608.1826773313,9.2693809329911
"63","1456440B30022647812570",1,1377.33393118657,1377.33393118657,7.22790497563708
"64","1456440B30822357340136",1,6725.37044955105,6725.37044955105,8.81364228838799
"65","1456440B3381431616278",1,19608.5745126618,19608.5745126618,9.88372222469007
"66","1456440B35586034015504",1,19848.8971228707,19848.8971228707,9.89590372401112
"67","1456440B38299420542047",1,NA,NA,NA
"68","1456440B41515061278311",1,4311.61308155447,4311.61308155447,8.36906737794
"69","1456440B44452540624114",1,6611.60779006535,6611.60779006535,8.79658213928459
"70","1456440B45455972514267",1,NA,NA,NA
"71","1456440B54194515366168",1,23158.1743935203,23158.1743935203,10.0501031027389
"72","1456440B56382702891578",1,21082.9601037833,21082.9601037833,9.95622041517761
"73","1456440B59769308078565",1,8768.49341053609,8768.49341053609,9.07892028161635
"74","1456440B59944424745172",1,19055.8624448904,19055.8624448904,9.8551300731019
"75","1456440B60992682417348",1,11441.2490960355,11441.2490960355,9.34498044568974
"76","1456440B62290110422722",1,3876.03806337483,3876.03806337483,8.26256879323458
"77","1456440B68597198845590",1,22232.326870234,22232.326870234,10.0093026740056
"78","1456440B69828690893614",1,NA,NA,NA
"79","1456440B76393603142959",1,30739.2732443373,30739.2732443373,10.3332963747942
"80","1456440B83071961973491",1,45582.1830524454,45582.1830524454,10.7272721966164
"81","1456440B85489993561805",1,11277.7248146319,11277.7248146319,9.3305848038772
"82","1456440B85935550107059",1,19168.0895359355,19168.0895359355,9.86100217201943
"83","1456440B94766097213569",1,19010.1819374712,19010.1819374712,9.85273000605589
"84","1456440B94896318880673",1,14389.9738447567,14389.9738447567,9.5742869822812
"85","1456440B99535609172770",1,17605.7492106264,17605.7492106264,9.77598078737926
"86","16705992B11914188004823",1,713631.936023693,713631.936023693,13.478122612643
"87","16705992B13795829103768",1,909293.112147942,909293.112147942,13.7204227767903
"88","16705992B14602656752780",1,693940.801097734,693940.801097734,13.4501419348387
"89","16705992B19758630986204",1,1242324.85512563,1242324.85512563,14.0324950653474
"90","16705992B21124734124900",1,2061825.88001909,2061825.88001909,14.5391024977138
"91","16705992B21968895988188",1,2302945.89910493,2302945.89910493,14.6496996870397
"92","16705992B2288856744536",1,1007497.96420565,1007497.96420565,13.8229805521614
"93","16705992B28022870637862",1,3054522.38677903,3054522.38677903,14.9321338001592
"94","16705992B28796010313895",1,3624002.27945191,3624002.27945191,15.1030895751326
"95","16705992B34203284467157",1,2893440.60767247,2893440.60767247,14.8779568736656
"96","16705992B43065208682222",1,1885793.89434212,1885793.89434212,14.4498594543068
"97","16705992B46028667424095",1,1124777.6096365,1124777.6096365,13.9330958937562
"98","16705992B46384724638491",1,2825062.42720318,2825062.42720318,14.8540410204435
"99","16705992B47191620994273",1,2544803.81776525,2544803.81776525,14.7495641196381
"100","16705992B48875454234518",1,1202081.73609305,1202081.73609305,13.9995653918428
"101","16705992B50862305652789",1,5524013.60561845,5524013.60561845,15.5246152565095
"102","16705992B51815672792645",1,2945639.78934826,2945639.78934826,14.895836597432
"103","16705992B54511139091050",1,6019692.74002085,6019692.74002085,15.6105467761188
"104","16705992B55394931042500",1,3519701.45627873,3519701.45627873,15.0738867304202
"105","16705992B55867939933107",1,4080078.14902426,4080078.14902426,15.2216267003695
"106","16705992B56503274196630",1,796812.60553637,796812.60553637,13.5883748053287
"107","16705992B60176987344662",1,2117040.79295243,2117040.79295243,14.5655298191578
"108","16705992B65705561019803",1,2643536.7615621,2643536.7615621,14.7876282609586
"109","16705992B66943755852345",1,2324116.86909251,2324116.86909251,14.6588506835951
"110","16705992B67131385183639",1,2164971.85759885,2164971.85759885,14.5879179205346
"111","16705992B74857221285320",1,2662209.63334297,2662209.63334297,14.7946670251532
"112","16705992B77509092527129",1,1920230.6181522,1920230.6181522,14.4679558504118
"113","16705992B77600989823530",1,1556510.50596547,1556510.50596547,14.2579570185779
"114","16705992B78415132034426",1,969217.575190486,969217.575190486,13.7842444014688
"115","16705992B79131283702140",1,1626709.2022392,1626709.2022392,14.3020696377369
"116","16705992B82604838368079",1,3395712.29345652,3395712.29345652,15.0380241035832
"117","16705992B87441692505107",1,3809389.31672388,3809389.31672388,15.1529794499315
"118","16705992B87804307332289",1,1267840.73958071,1267840.73958071,14.0528258063912
"119","16705992B87985099055959",1,1357895.63064866,1357895.63064866,14.1214467289548
"120","16705992B90744549146712",1,16282932.7127148,16282932.7127148,16.6056280443737
"121","16705992B90842308963557",1,1565642.8176156,1565642.8176156,14.2638070437036
"122","16705992B92388810566131",1,1332421.83435196,1332421.83435196,14.1025087724024
"123","16705992B95243043657125",1,2654255.33913874,2654255.33913874,14.7916746984171
"124","16705992B99884694518333",1,1636237.34391569,1636237.34391569,14.3079098613654
"125","17275852B1065790622928",1,616595.618308736,616595.618308736,13.3319686881954
"126","17275852B12258272370747",1,667354.976117236,667354.976117236,13.4110773814074
"127","17275852B12443275471591",1,808791.439574992,808791.439574992,13.6032963625263
"128","17275852B12997706676088",1,4286.37648902042,4286.37648902042,8.36319701375767
"129","17275852B14815638988431",1,314590.939170231,314590.939170231,12.6590284680798
"130","17275852B15106805877311",1,710771.806065336,710771.806065336,13.4741067094019
"131","17275852B15408627611583",1,935524.512121345,935524.512121345,13.7488626265137
"132","17275852B16277870573564",1,555529.334136189,555529.334136189,13.2276766933934
"133","17275852B2067645637252",1,1255651.58929805,1255651.58929805,14.0431651904729
"134","17275852B21494165623103",1,266174.400499422,266174.400499422,12.4919070139005
"135","17275852B21750823884811",1,213695.497642961,213695.497642961,12.2723073724983
"136","17275852B21842931785294",1,2357820.00620907,2357820.00620907,14.6732480239213
"137","17275852B2295538790743",1,1482428.0655233,1482428.0655233,14.2091918862642
"138","17275852B23391188567726",1,2169734.1631411,2169734.1631411,14.5901152125473
"139","17275852B25327527965287",1,31255.2865837775,31255.2865837775,10.3499438115377
"140","17275852B25965384817686",1,2346064.65991718,2346064.65991718,14.6682498695878
"141","17275852B26033440645013",1,83060.1182411017,83060.1182411017,11.3273199407462
"142","17275852B27877276340012",1,4088551.28476938,4088551.28476938,15.2237012561693
"143","17275852B28845515446882",1,114504.815668978,114504.815668978,11.6483721593364
"144","17275852B2889394580219",1,132142.666817775,132142.666817775,11.7916374271403
"145","17275852B29365851049062",1,1255081.27168942,1255081.27168942,14.0427108867696
"146","17275852B31711539663260",1,3979725.41239528,3979725.41239528,15.1967233830201
