"","ADM2_id","exposure_days","total_population","region","person_day_exposure","pop_wt_grdi","country"
"1","17275852B2295538790743",1,1482428.0655233,"Western Pacific",1482428.0655233,11.9661162336124,"China"
"2","17275852B41190306193582",1,601310.945051127,"Western Pacific",601310.945051127,1.66992102351651,"China"
"3","17275852B78973254528560",1,610963.574422968,"Western Pacific",610963.574422968,2.08799239807081,"China"
"4","17275852B7979903099841",1,469731.845220705,"Western Pacific",469731.845220705,1.20393110712394,"China"
"5","17275852B82960244806798",1,230670.52036072,"Western Pacific",230670.52036072,1.53654608121724,"China"
"6","17275852B86431238150342",1,768622.902405038,"Western Pacific",768622.902405038,4.70860705010273,"China"
"7","17275852B98891327369808",1,354669.220999541,"Western Pacific",354669.220999541,2.22779620339861,"China"
"8","22064153B13415196919485",1,22962.3056059249,"Western Pacific",22962.3056059249,31.789052630419,"Japan"
"9","22064153B1430516965980",1,28082.8439018295,"Western Pacific",28082.8439018295,43.4688898064169,"Japan"
"10","22064153B16264764307082",1,102436.317890018,"Western Pacific",102436.317890018,31.2218884380987,"Japan"
"11","22064153B18443780619579",1,12528.9153628553,"Western Pacific",12528.9153628553,32.145003647704,"Japan"
"12","22064153B21463927954199",1,74851.1992290188,"Western Pacific",74851.1992290188,25.6205556104091,"Japan"
"13","22064153B21529335846532",1,7650.19207505696,"Western Pacific",7650.19207505696,45.5258519979486,"Japan"
"14","22064153B25042190901764",1,553037.380523651,"Western Pacific",553037.380523651,22.2518763992627,"Japan"
"15","22064153B30432270495602",1,23241.2375942298,"Western Pacific",23241.2375942298,30.0928172437811,"Japan"
"16","22064153B32453256362792",1,11174.1616462293,"Western Pacific",11174.1616462293,42.198157651524,"Japan"
"17","22064153B34841335570745",1,103605.017384955,"Western Pacific",103605.017384955,35.4178545133087,"Japan"
"18","22064153B35477366306356",1,10917.7710233181,"Western Pacific",10917.7710233181,36.559716652279,"Japan"
"19","22064153B47088094291136",1,36539.3169096936,"Western Pacific",36539.3169096936,43.040197864872,"Japan"
"20","22064153B49276333720668",1,268.459258313291,"Western Pacific",268.459258313291,42.1577253789408,"Japan"
"21","22064153B50130441477952",1,19009.0940069587,"Western Pacific",19009.0940069587,35.303168774346,"Japan"
"22","22064153B55971315986708",1,4470.60738461216,"Western Pacific",4470.60738461216,41.0884868850001,"Japan"
"23","22064153B56106555282703",1,119983.420234723,"Western Pacific",119983.420234723,27.8706297228684,"Japan"
"24","22064153B57554253448105",1,1603.70933153933,"Western Pacific",1603.70933153933,46.5506300576774,"Japan"
"25","22064153B58787616490408",1,23195.6610549249,"Western Pacific",23195.6610549249,43.0687229315278,"Japan"
"26","22064153B63840040249051",1,44248.3600132508,"Western Pacific",44248.3600132508,35.0634024925066,"Japan"
"27","22064153B68069187412847",1,24192.7518844669,"Western Pacific",24192.7518844669,30.6811040668288,"Japan"
"28","22064153B71803232115030",1,47656.2091070281,"Western Pacific",47656.2091070281,34.6964476260703,"Japan"
"29","22064153B74370220833750",1,7189.83848518112,"Western Pacific",7189.83848518112,41.918831309523,"Japan"
"30","22064153B75512617616301",1,18908.8255278248,"Western Pacific",18908.8255278248,42.0063827314446,"Japan"
"31","22064153B79178271585243",1,7911.6088276483,"Western Pacific",7911.6088276483,47.0956819434514,"Japan"
"32","22064153B82042887470941",1,53419.0426381339,"Western Pacific",53419.0426381339,35.2644250684221,"Japan"
"33","22064153B82157551102424",1,3636.95413107049,"Western Pacific",3636.95413107049,46.4872857783373,"Japan"
"34","22064153B87695161266591",1,13072.1753189458,"Western Pacific",13072.1753189458,40.4604441042299,"Japan"
"35","22064153B92754256682750",1,36434.6414281278,"Western Pacific",36434.6414281278,38.4922265691626,"Japan"
"36","2640588B14186532473464",1,307586.743233449,"Western Pacific",307586.743233449,57.0987203293633,"Philippines"
"37","2640588B23864872837062",1,19624.6673333612,"Western Pacific",19624.6673333612,52.5415825420554,"Philippines"
"38","2640588B2684850326122",2,233156.789423591,"Western Pacific",466313.578847182,63.9397224062221,"Philippines"
