"","ADM2_id","exposure_days","total_population","region","person_day_exposure","pop_wt_grdi","country"
"1","10022922B10293113814705",1,269868.941473426,"Africa",269868.941473426,69.2174724751071,"Madagascar"
"2","10022922B16213196407560",1,313539.815072712,"Africa",313539.815072712,73.1067127477661,"Madagascar"
"3","10022922B22775533170221",2,288938.947031279,"Africa",577877.894062558,70.9695804285884,"Madagascar"
"4","10022922B39697778193382",1,50981.3458239764,"Africa",50981.3458239764,80.1103300822404,"Madagascar"
"5","10022922B40357207342555",1,213264.958352174,"Africa",213264.958352174,75.7434771986292,"Madagascar"
"6","10022922B52521872200932",1,303799.441109564,"Africa",303799.441109564,68.0390519775957,"Madagascar"
"7","10022922B66036521727834",1,112865.709506026,"Africa",112865.709506026,53.0679024431407,"Madagascar"
"8","10022922B70385192089273",1,91150.2134768025,"Africa",91150.2134768025,77.6839114210944,"Madagascar"
"9","10022922B72547257848133",1,138823.644535868,"Africa",138823.644535868,77.6247962508251,"Madagascar"
"10","10022922B77517626674469",2,90469.8460087927,"Africa",180939.692017585,36.3411379124196,"Madagascar"
"11","10022922B91714644312966",1,209532.530047704,"Africa",209532.530047704,73.8228777915656,"Madagascar"
"12","10938185B16418977449415",1,11924.1739955517,"Africa",11924.1739955517,69.122747931231,"Comoros"
"13","10938185B23268545061954",1,239928.263853397,"Africa",239928.263853397,45.8795373459829,"Comoros"
"14","10938185B41806506469500",1,14144.8713554036,"Africa",14144.8713554036,40.8544676792259,"Comoros"
"15","10938185B42418571168375",1,38156.5162762403,"Africa",38156.5162762403,72.3144923253795,"Comoros"
"16","10938185B46959303700006",1,41992.9144888508,"Africa",41992.9144888508,80.1102151194259,"Comoros"
"17","10938185B74704582538531",1,14643.9383492957,"Africa",14643.9383492957,62.5731245243329,"Comoros"
"18","10938185B83207987774368",1,18583.9793893149,"Africa",18583.9793893149,26.2249747982149,"Comoros"
"19","10938185B89113061759376",1,6031.25202003591,"Africa",6031.25202003591,71.9283337483581,"Comoros"
"20","1456440B17189259529244",1,2803.9283964739,"Americas",2803.9283964739,16.3600036717213,"Belize"
"21","1456440B2347802332561",1,3622.30372179262,"Americas",3622.30372179262,30.5094454256039,"Belize"
"22","1456440B30022647812570",1,1377.33393118657,"Americas",1377.33393118657,37.7335190506593,"Belize"
"23","1456440B30822357340136",1,6725.37044955105,"Americas",6725.37044955105,19.6325795948552,"Belize"
"24","1456440B3381431616278",1,19608.5745126618,"Americas",19608.5745126618,39.311007234564,"Belize"
"25","1456440B35586034015504",1,19848.8971228707,"Americas",19848.8971228707,50.0215634010643,"Belize"
"26","1456440B41515061278311",1,4311.61308155447,"Americas",4311.61308155447,45.0092691482701,"Belize"
"27","1456440B42858998503900",1,12333.0124786811,"Americas",12333.0124786811,39.9959696798247,"Belize"
"28","1456440B54087410472023",1,8494.36709127995,"Americas",8494.36709127995,41.2037855944063,"Belize"
"29","1456440B54194515366168",1,23158.1743935203,"Americas",23158.1743935203,39.0117897641343,"Belize"
