"","who_region","xmin","ymin","xmax","ymax"
"1","Africa",33.6457082530001,-24.5378327139999,56.705126,-7.47022150299995
"2","Americas",-109.447692603181,11.1342247,-60.519332886,39.0685434440001
"3","Europe",-9.29934002233643,41.8707603666131,4.86461200434139,48.7167213630703
"4","South-East Asia",84.85138,19.95592,91.25557847,24.6430451210001
"5","Western Pacific",103.697428174,-22.2117147189999,147.662036924743,41.127059
